state_abbreviation,state_name,city,latitude,longitude,neighbors
AL,Alabama,Montgomery,32.377716,-86.300568,AL FL GA TN MS
AK,Alaska,Juneau,58.301598,-134.420212,AK
AZ,Arizona,Phoenix,33.448143,-112.096962,AZ NM UT NV CA
AR,Arkansas,Little Rock,34.746613,-92.288986,AR LA MS TN MO OK TX
CA,California,Sacramento,38.576668,-121.493629,CA AZ NV OR
CO,Colorado,Denver,39.739227,-104.984856,CO NM OK KS NE WY UT
CT,Connecticut,Hartford,41.764046,-72.682198,CT RI MA NY
DE,Delaware,Dover,39.157307,-75.519722,DE NJ PA MD
FL,Florida,Tallahassee,30.438118,-84.281296,FL GA AL
GA,Georgia,Atlanta,33.749027,-84.388229,GA SC NC TN AL FL
HI,Hawaii,Honolulu,21.307442,-157.857376,HI
ID,Idaho,Boise,43.617775,-116.199722,ID WA OR NV UT WY MT
IL,Illinois,Springfield,39.798363,-89.654961,IL WI IA MO KY IN
IN,Indiana,Indianapolis,39.768623,-86.162643,IN IL KY OH MI
IA,Iowa,Des Moines,41.591087,-93.603729,IA MN SD NE MO IL WI
KS,Kansas,Topeka,39.048191,-95.677956,KS OK MO NE CO
KY,Kentucky,Frankfort,38.186722,-84.875374,KY TN VA WV OH IN IL MO
LA,Louisiana,Baton Rouge,30.457069,-91.187393,LA MS AR TX
ME,Maine,Augusta,44.307167,-69.781693,ME NH
MD,Maryland,Annapolis,38.978764,-76.490936,MD DE PA WV VA DC
MA,Massachusetts,Boston,42.358162,-71.063698,MA NH VT NY CT RI
MI,Michigan,Lansing,42.733635,-84.555328,MI WI IN OH
MN,Minnesota,Saint Paul,44.955097,-93.102211,MN ND SD IA WI
MS,Mississippi,Jackson,32.303848,-90.182106,MS AL TN AR LA
MO,Missouri,Jefferson City,38.579201,-92.172935,MO AR TN KY IL IA NE KS OK
MT,Montana,Helena,46.585709,-112.018417,MT ID WY SD ND
NE,Nebraska,Lincoln,40.808075,-96.699654,NE KS MO IA SD WY CO
NV,Nevada,Carson City,39.163914,-119.766121,NV AZ UT ID OR CA
NH,New Hampshire,Concord,43.206898,-71.537994,NH VT MA ME
NJ,New Jersey,Trenton,40.220596,-74.769913,NJ NY PA DE
NM,New Mexico,Santa Fe,35.68224,-105.939728,NM TX OK CO AZ
NY,New York,Albany,42.652843,-73.757874,NY PA NJ CT MA VT
NC,North Carolina,Raleigh,35.78043,-78.639099,NC VA TN GA SC
ND,North Dakota,Bismarck,46.82085,-100.783318,ND MT SD MN
OH,Ohio,Columbus,39.961346,-82.999069,OH MI IN KY WV PA
OK,Oklahoma,Oklahoma City,35.492207,-97.503342,OK TX AR MO KS CO NM
OR,Oregon,Salem,44.938461,-123.030403,OR CA NV ID WA
PA,Pennsylvania,Harrisburg,40.264378,-76.883598,PA OH WV MD DE NJ NY
RI,Rhode Island,Providence,41.830914,-71.414963,RI MA CT
SC,South Carolina,Columbia,34.000343,-81.033211,SC NC GA
SD,South Dakota,Pierre,44.367031,-100.346405,SD NE IA MN ND MT WY
TN,Tennessee,Nashville,36.16581,-86.784241,TN AL GA NC VA KY MO AR MS
TX,Texas,Austin,30.27467,-97.740349,TX LA AR OK NM
UT,Utah,Salt Lake City,40.777477,-111.888237,UT AZ CO WY ID NV
VT,Vermont,Montpelier,44.262436,-72.580536,VT NY MA NH
VA,Virginia,Richmond,37.538857,-77.43364,VA MD DC WV KY TN NC
WA,Washington,Olympia,47.035805,-122.905014,WA OR ID
WV,West Virginia,Charleston,38.336246,-81.612328,WV VA MD PA OH KY
WI,Wisconsin,Madison,43.074684,-89.384445,WI MN IA IL MI
WY,Wyoming,Cheyenne,41.140259,-104.820236,WY CO NE SD MT ID UT
